cd_nom	taxa_name	level_1_alp	level_1_mc
6212	Riccia ciliifera Link ex Lindenb.	1	0
6213	Riccia crozalsii Levier	1	1
6216	Riccia fluitans L.	1	1
6218	Riccia glauca L.	1	1
6219	Riccia gougetiana Durieu & Mont.	1	1
6220	Riccia huebeneriana Lindenb.	1	1
6226	Riccia nigrella DC.	1	1
6232	Riccia subbifurca Warnst. ex Croz.	1	1
6235	Riccia warnstorfii Limpr. ex Warnst.	1	1
6237	Ricciocarpos natans (L.) Corda	1	1
6244	Metzgeria conjugata Lindb.	1	0
6248	Metzgeria temperata Kuwah.	1	1
6254	Riccardia chamedryfolia (With.) Grolle	1	1
6257	Riccardia incurvata Lindb.	1	0
6258	Riccardia latifrons (Lindb.) Lindb.	1	1
6259	Riccardia multifida (L.) Gray	1	0
6279	Pallavicinia lyellii (Hook.) Carruth.	1	1
6282	Blasia pusilla L.	1	1
6285	Fossombronia angulosa (Dicks.) Raddi	1	1
6286	Fossombronia caespitiformis De Not. ex Rabenh.	1	1
6289	Fossombronia foveolata Lindb.	1	0
6294	Fossombronia pusilla (L.) Nees	1	1
6296	Fossombronia wondraczekii (Corda) Dumort. ex Lindb.	1	1
6305	Anastrepta orcadensis (Hook.) Schiffn.	1	1
6319	Barbilophozia lycopodioides (Wallr.) Loeske	0	1
6328	Lophozia ascendens (Warnst.) R.M.Schust.	1	1
6367	Tritomaria exsecta (Schmidel ex Schrad.) Schiffn. ex Loeske, 1909	1	0
6368	Tritomaria exsectiformis (Breidl.) Loeske	1	0
6392	Solenostoma hyalinum (Lyell) Mitt.	0	1
6422	Nardia geoscyphus (De Not.) Lindb.	1	1
6429	Gymnomitrion corallioides Nees	1	1
6445	Marsupella condensata (Ångstr. ex C.Hartm.) Lindb. ex Kaal.	1	0
6454	Marsupella sphacelata (Gieseke ex Lindenb.) Dumort.	1	1
6455	Marsupella sprucei (Limpr.) Bernet	1	1
6460	Gongylanthus ericetorum (Raddi) Nees	1	1
6463	Southbya tophacea (Spruce) Spruce	1	1
6466	Pedinophyllum interruptum (Nees) Kaal.	0	1
6471	Plagiochila exigua (Taylor) Taylor	1	1
6489	Harpanthus scutatus (F.Weber & D.Mohr) Spruce	1	1
6494	Lophocolea fragrans (Moris & De Not.) Gottsche, Lindenb. & Nees	1	1
6502	Saccogyna viticulosa (L.) Dumort.	1	1
6508	Diplophyllum taxifolium (Wahlenb.) Dumort.	1	1
6510	Douinia ovata (Dicks.) H.Buch	1	1
6513	Scapania aequiloba (SchwÃ¤gr.) Dumort.	0	1
6514	Scapania apiculata Spruce	1
6515	Scapania calcicola (Arnell & J.Perss.) Ingham	1	1
6517	Scapania aspera M.Bernet & Bernet	0	1
6518	Scapania compacta (Roth) Dumort.	1	1
6519	Scapania curta (Mart.) Dumort.	1	1
6528	Scapania mucronata H.Buch	1	1
6533	Scapania scandica (Arnell & H.Buch) Macvicar	1	1
6534	Scapania praetervisa Meyl.	1	1
6536	Scapania subalpina (Nees ex Lindenb.) Dumort.	1	1
6537	Scapania uliginosa (Sw. ex Lindenb.) Dumort.	1	1
6538	Scapania paludosa (Müll.Frib.) Müll.Frib.	1	1
6539	Scapania umbrosa (Schrad.) Dumort.	1	1
6543	Scapania verrucosa Heeg	1
6550	Cephaloziella baumgartneri Schiffn.	1	1
6558	Cephaloziella hampeana (Nees) Schiffn.	1	1
6559	Cephaloziella integerrima (Lindb.) Warnst.	1	1
6563	Cephaloziella rubella (Nees) Warnst.	1	1
6565	Cephaloziella stellulifera (Taylor ex Spruce) Schiffn.	1	1
6598	Odontoschisma denudatum (Mart.) Dumort.	1	1
6600	Odontoschisma sphagni (Dicks.) Dumort.	1	1
6605	Anthelia juratzkana (Limpr.) Trevis.	1	1
6609	Bazzania flaccida (Dumort.) Grolle	1	1
6610	Bazzania tricrenata (Wahlenb.) Lindb.	1	1
6611	Bazzania trilobata (L.) Gray	1	0
6613	Kurzia pauciflora (Dicks.) Grolle	1	1
6628	Calypogeia arguta Nees & Mont.	1	1
6635	Calypogeia integristipula Steph.	1	1
6640	Calypogeia sphagnicola (Arnell & J.Perss.) Warnst. & Loeske	1	1
6642	Calypogeia suecica (Arnell & J.Perss.) Müll.Frib.	1	1
6650	Trichocolea tomentella (Ehrh.) Dumort.	1	0
6653	Ptilidium ciliare (L.) Hampe	1	0
6654	Ptilidium pulcherrimum (Weber) Vain.	1	1
6658	Radula lindenbergiana Gottsche ex C.Hartm.	1	1
6667	Porella obtusata (Taylor) Trevis.	1	1
6668	Porella pinnata L.	1	1
6678	Frullania fragilifolia (Taylor) Gottsche, Lindenb. & Nees, 1845	1	0
6679	Frullania jackii Gottsche	1	1
6690	Jubula hutchinsiae (Hook.) Dumort.	1	1
6691	Jubula hutchinsiae subsp. hutchinsiae (Hook.) Dumort.	1	1
6696	Cololejeunea calcarea (Lib.) Schiffn.	0	1
6699	Cololejeunea rossettiana (C.Massal.) Schiffn.	1	1
6710	Lejeunea lamacerina (Steph.) Schiffn.	1	1
6711	Lejeunea patens Lindb.	1	1
6713	Microlejeunea ulicina (Taylor) A.Evans	1	1
6720	Sphagnum affine Renauld & Cardot	0	1
6722	Sphagnum angustifolium (C.E.O.Jensen ex Russow) C.E.O.Jensen	1	1
6728	Sphagnum capillifolium (Ehrh.) Hedw.	1	1
6732	Sphagnum centrale C.E.O.Jensen	1	0
6734	Sphagnum compactum Lam. & DC.	1	1
6736	Sphagnum contortum Schultz	1	1
6739	Sphagnum cuspidatum Ehrh. ex Hoffm.	1	1
6742	Sphagnum inundatum Russow	1	1
6746	Sphagnum fallax (H.Klinggr.) H.Klinggr.	1	1
6747	Sphagnum fimbriatum Wilson	1	1
