cd_nom	taxa_name	level_1_alp	level_1_mc	level_2_alp	level_2_mc
134095	Empetrum nigrum subsp. hermaphroditum (Hagerup) BáÂcher, 1952	0	0	1	0
99233	Galanthus nivalis L., 1753	0	0	1	0
96127	Epilobium alpestre (Jacq.) Krock., 1787	0	0	1	0
89936	Cephalaria alpina (L.) Schrad. ex Roem. & Schult., 1818	0	0	1	0
103553	Impatiens noli-tangere L., 1753	0	0	1	0
129263	Vicia orobus DC., 1815	0	0	1	1
93708	Cyclamen purpurascens Mill., 1768	0	0	1	0
81610	Alopecurus aequalis Sobol., 1799	0	0	1	0
99418	Galium elongatum C.Presl, 1822	0	0	1	1
99986	Gentianella germanica (Willd.) BáÂrner, 1912	0	0	1	0
129159	Vicia dumetorum L., 1753	0	0	1	0
95154	Dipsacus pilosus L., 1753	0	0	1	0
80037	Aconitum napellus L., 1753	0	0	1	0
106555	Lonicera caerulea L., 1753	0	0	1	0
106634	Lotus angustissimus L., 1753	0	0	1	0
107790	Melampyrum cristatum L., 1753	0	0	1	1
97277	Erysimum virgatum Roth, 1797	0	0	1	0
91118	Chrysosplenium alternifolium L., 1753	0	0	1	0
106761	Lunaria rediviva L., 1753	0	0	1	0
122140	Sedum cepaea L., 1753	0	0	1	0
108587	Minuartia capillacea (All.) Graebn., 1918	0	0	1	0
115270	Potamogeton lucens L., 1753	0	0	1	1
95239	Doronicum pardalianches L., 1753	0	0	1	0
142070	Valeriana officinalis subsp. sambucifolia (J.C.Mikan ex Pohl) Celak., 1871	0	0	1	1
105400	Leersia oryzoides (L.) Sw., 1788	0	0	1	0
88833	Carex riparia Curtis, 1783	0	0	1	0
133928	Dorycnium pentaphyllum subsp. herbaceum (Vill.) Bonnier & Layens, 1894	0	0	1	0
110190	Ononis fruticosa L., 1753	0	0	1	0
109847	Odontites viscosus (L.) Clairv., 1811	0	0	1	0
109291	Narcissus poeticus L., 1753	0	0	1	0
80007	Aconitum anthora L., 1753	0	0	1	0
106374	Lithodora fruticosa (L.) Griseb., 1844	0	0	1	1
113148	Phillyrea latifolia L., 1753	0	0	1	0
124740	Stachys alpina L., 1753	0	0	1	0
132509	Campanula rotundifolia subsp. macrorhiza (J.Gay ex A.DC.) Bonnier & Layens, 1894	0	0	1	0
89881	Centranthus calcitrapae (L.) Dufr., 1811	0	0	1	1
102650	Hieracium tomentosum L., 1755	0	0	1	0
136812	Iberis intermedia subsp. violletii (Soy.-Will. ex Godr.) Rouy & Foucaud, 1895	0	0	1	0
717051	Achnatherum bromoides (L.) P.Beauv., 1812	0	0	1	1
88476	Carex distachya Desf., 1799	0	0	1	0
88482	Carex divisa Huds., 1762	0	0	1	1
115237	Potamogeton coloratus Hornem., 1813	0	0	1	0
101221	Helosciadium nodiflorum (L.) W.D.J.Koch, 1824	0	0	1	0
95337	Draba muralis L., 1753	0	0	1	0
112778	Petasites albus (L.) Gaertn., 1791	0	0	1	0
613669	Epipactis leptochila var. neglecta (Kümpel) Gá®vaudan, 2002	0	0	1	0
98830	Fragaria moschata Weston, 1771	0	0	1	0
100394	Glyceria maxima (Hartm.) Holmb., 1919	0	0	1	1
85745	Bellis sylvestris Cirillo, 1792	0	0	1	1
161345	Rosa marginata Wallr., 1815	0	0	1	0
142499	Xanthoselinum alsaticum subsp. alsaticum (L.) Schur, 1866	0	0	1	0
126628	Tilia cordata Mill., 1768	0	0	1	0
88314	Carex acuta L., 1753	0	0	1	0
94765	Dianthus hyssopifolius L., 1755	0	0	1	0
91853	Clematis alpina (L.) Mill., 1768	0	0	1	0
120009	Salix daphnoides Vill., 1779	0	0	1	0
97325	Erythronium dens-canis L., 1753	0	0	1	0
96523	Equisetum hyemale L., 1753	0	0	1	0
98232	Festuca flavescens Bellardi, 1792	0	0	1	0
85017	Atocion armeria (L.) Raf., 1840	0	0	1	0
130792	Aconitum napellus subsp. vulgare Rouy & Foucaud, 1893	0	0	1	0
103917	Isopyrum thalictroides L., 1753	0	0	1	0
84230	Asarum europaeum L., 1753	0	0	1	0
142020	Ulex europaeus subsp. europaeus L., 1753	0	0	1	0
103308	Hypericum nummularium L., 1753	0	0	1	0
80417	Agrimonia procera Wallr., 1840	0	0	1	0
91398	Cirsium rivulare (Jacq.) All., 1789	0	0	1	0
91120	Chrysosplenium oppositifolium L., 1753	0	0	1	0
103320	Hypericum pulchrum L., 1753	0	0	1	0
96545	Equisetum sylvaticum L., 1753	0	0	1	0
111239	Oreopteris limbosperma (Bellardi ex All.) Holub, 1969	0	0	1	0
103898	Isolepis setacea (L.) R.Br., 1810	0	0	1	0
104145	Juncus bulbosus L., 1753	0	0	1	0
112601	Pedicularis sylvatica L., 1753	0	0	1	0
105148	Lathraea squamaria L., 1753	0	0	1	0
129539	Viola collina Besser, 1816	0	0	1	0
92217	Comarum palustre L., 1753	0	0	1	0
96861	Eriophorum vaginatum L., 1753	0	0	1	0
127333	Trifolium hirtum All., 1789	0	0	1	0
105159	Lathyrus angulatus L., 1753	0	0	1	1
98687	Filago lutescens Jord., 1846	0	0	1	1
611926	Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman, 1889	0	0	1	0
125364	Symphytum tuberosum L., 1753	0	0	1	0
117668	Rhodiola rosea L., 1753	0	0	1	0
111250	Oreoselinum nigrum Delarbre, 1800	0	0	1	0
142305	Viola canina subsp. canina L., 1753	0	0	1	0
142317	Viola canina subsp. ruppii (All.) Schübl. & G.Martens, 1834	0	0	1	0
94693	Dianthus armeria L., 1753	0	0	1	0
95240	Doronicum plantagineum L., 1753	0	0	1	1
