regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Fungi,Basidiomycètes,Autres,32683,[32683],"Melanoleuca subpulverulenta (Pers.) Singer, 1939",1,32479,"[32479, 32663, 32683]","Melanoleuca friesii (Bres.) Bon, 1978",3,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,126566,"[126504, 126559, 126566, 141712, 141713, 141714, 141719, 141728]","Thymus pulegioides L., 1753",8,126566,"[126566, 141718]","Thymus pulegioides L., 1753",2,[107],1,8,cas3: f_cd_ref,Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,32479,[32479],"Melanoleuca friesii (Bres.) Bon, 1978",1,32479,"[32479, 32663, 32683]","Melanoleuca friesii (Bres.) Bon, 1978",3,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,29729,[29729],"Suillus luteus (L.) Roussel, 1796",1,29729,"[29729, 470243, 470245]","Suillus luteus (L.) Roussel, 1796",3,,,2,cas3: f_cd_ref,Merge attributes if exists,merge
Plantae,Trachéophytes,Ptéridophytes,114942,"[114936, 114942, 139154]","Polypodium cambricum L., 1753",3,114942,[114942],"Polypodium cambricum L., 1753",1,"[106, 107]",2,7,"cas2, cas3: f_cd_ref",Merge attributes if exists,merge
Animalia,Arthropodes,Insectes,824663,"[246044, 824663]","Biselachista juliensis (Frey, 1870)",2,341667,"[246044, 824663]","Elachista juliensis Frey, 1870",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Myriapodes,227567,[227567],"Craspedosoma rawlinsi Leach, 1814",1,1038700,[227567],"Craspedosoma raulinsii Leach, 1814",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,131362,[131362],"Androsace adfinis subsp. puberula (Jord. & Fourr.) Kress, 1981",1,82528,[131362],"Androsace puberula Jord. & Fourr., 1868",1,"[107, 106]",2,12,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,349345,[349345],"Platycleis albopunctata grisea (Fabricius, 1781)",1,65693,[349345],"Platycleis grisea (Fabricius, 1781)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,535776,[535776],"Melanoplus frigidus frigidus (Boheman, 1846)",1,1027363,[535776],"Bohemanella frigida frigida (Boheman, 1846)",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,813879,"[248035, 813879]","Pseudosyria sororiella (Zeller, 1839)",2,248035,"[248035, 813879]","Pempeliella sororiella (Zeller, 1839)",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Chordés,Oiseaux,4247,[4247],"Sylvia curruca (Linnaeus, 1758)",1,1027359,[4247],"Curruca curruca (Linnaeus, 1758)",1,,,9,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249086,[249086],"Amata phegea (Linnaeus, 1758)",1,54690,[249086],"Syntomis phegea (Linnaeus, 1758)",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Ptéridophytes,133968,"[95587, 133968]","Dryopteris affinis subsp. affinis (Lowe) Fraser-Jenk., 1979",2,1038740,"[95587, 133968]","Dryopteris affinis (Lowe) Fraser-Jenk., 1979 s.s. [nom. cons. prop.]",2,[107],1,7,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,464663,[464663],"Lactarius albivellus Romagn., 1980",1,1030024,[464663],"Lactifluus albivellus (Romagn.) Courtec., 2019",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,217513,[217513],"Meligramma cingulata (Egger, 1860)",1,1041085,[217513],"Meligramma cingulatum (Egger, 1860)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,59510,"[56369, 59510]","Caloplaca aurantia (Pers.) Hellb., 1890",2,977705,"[56369, 59510]","Variospora aurantia (Pers.) Arup, Frödén & Søchting, 2013",2,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
