i_cd_ref;i_array_agg;i_count;f_cd_ref;f_array_agg;f_count;att_list;att_nb;media_nb;grappe_change;action;cas
32901;{32901};1;972016;{32901,32911};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
32911;{32911};1;972016;{32901,32911};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
33087;{33087};1;33087;{33087,469621};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
34577;{34577};1;34581;{34577};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
37569;{37569};1;972034;{37569};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
37821;{37821};1;971482;{37821};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
39199;{39199};1;971138;{39199};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
39516;{39516};1;969743;{39516};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
42982;{42982};1;970232;{42982};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
46608;{46608};1;945104;{46608};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
53294;{53294};1;956889;{53294};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
56413;{56413};1;954903;{56413};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
56476;{56476};1;955004;{56476};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
56511;{56511};1;954991;{56511};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
56516;{56516};1;955020;{56516};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
58224;{58224};1;955037;{58224};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
58989;{58989};1;954522;{58989};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
59387;{59387};1;954159;{59387};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
66145;{66145};1;962302;{66145,66146};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
66146;{66146};1;962302;{66145,66146};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
66130;{66130};1;971744;{66130};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
66133;{66133};1;971762;{66133};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
66134;{66134};1;971768;{66134};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
66136;{66136};1;971800;{66136};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
66138;{66138};1;971791;{66138};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
66140;{66140};1;971792;{66140};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
66141;{66141};1;913804;{66141};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
66142;{66142};1;971798;{66142};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
80955;{80955};1;971406;{80955};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
81027;{81027};1;81027;{81027,718638};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
81992;{81992};1;81992;{81992,613632};2;;;5;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
82498;{82498};1;82498;{82498,131373};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
82656;{82656};1;82656;{82656,131410};2;;;6;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
83195;{83195};1;83195;{83195,143682};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
83832;{83832};1;83832;{83832,131662};2;;;3;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
